sid,pmid,pmcid
PKDB00115,1867957,PMC1368572
PKDB00117,9357098,
PKDB00116,10027657,
PKDB00972,31610099,
PKDB00973,35510948,PMC9321699
PKDB00984,17873238,
PKDB00985,29194698,
PKDB00989,16638738,
PKDB00991,38553322,
PKDB00993,19196845,
10486607,10486607,
PKDB00933,24470465,
PKDB00854,24788577,
PKDB00934,24739274,
PKDB00859,18559696,
PKDB00860,11799102,
PKDB00861,20413453,
PKDB00863,22124880,
PKDB00937,20496145,
PKDB00864,20179914,
PKDB00865,20400651,
PKDB00866,21204914,PMC3093077
PKDB00867,17118124,PMC1885182
PKDB00936,19035874,
PKDB00871,18786303,
881642,881642,
Baekdal2019,30945118,PMC6719321
Beermann1988,2844083,
Gautam1987,2892917,
PKDB00853,15497668,
Lees1988,2833920,PMC1386354
Millar1982,6289857,PMC1427629
Misaka2021,33048477,PMC7993260
Mojaverian1986,3014110,
Qin2007,17221934,
Qin2012,21932385,
PKDB00981,18368945,
1706800,1706800,
PKDB00982,16075412,
PKDB00804,6289858,PMC1427630
PKDB00978,19007490,
Baekdal2018,29693715,PMC6175428
Baekdal2018a,29897249,
PKDB00001,4029248,
PKDB00427,4027137,PMC1400629
PKDB00003,10073324,
PKDB00428,28155129,PMC5394143
PKDB00429,,
PKDB00430,15856409,
PKDB00431,13053413,
PKDB00432,8554942,PMC1365159
PKDB00004,17955229,
PKDB00005,1304170,
PKDB00007,2177401,
PKDB00434,16797457,
PKDB00435,6700656,
PKDB00009,17221922,
PKDB00436,25891161,
PKDB00011,14586387,
PKDB00012,2049248,PMC1368325
PKDB00210,6863577,
PKDB00378,3986081,PMC1463701
PKDB00437,14659985,
PKDB00438,7371698,
PKDB00439,7306430,PMC1401851
3365914,3365914,
PKDB00440,3741730,PMC1401080
PKDB00443,6135578,
PKDB00016,2920498,
PKDB00017,10942180,
PKDB00445,19534587,
PKDB00446,19215233,
PKDB00447,20484172,
PKDB00448,26862045,
PKDB00449,11907488,
PKDB00450,1033273,
PKDB00128,13475320,
PKDB00019,16236038,PMC1884944
PKDB00451,17443132,
PKDB00328,18076219,
PKDB00452,26599973,
PKDB00453,18157525,
PKDB00032,15289794,
PKDB00033,8485024,PMC1381556
PKDB00454,21591074,
PKDB00034,3802578,
PKDB00035,19307938,
PKDB00036,16198659,
PKDB00456,15974642,PMC1858666
PKDB00457,15900287,PMC1894911
PKDB00458,15359622,
PKDB00038,2853056,
PKDB00459,1613129,
PKDB00460,28875060,PMC5582588
PKDB00040,2729942,PMC172463
PKDB00461,2921843,
PKDB00598,25465228,
19395173,19395173,
PKDB00588,16249913,
PKDB00589,23394389,
PKDB00590,8830977,
PKDB00599,17652181,
PKDB00591,18362694,
10952478,10952478,
PKDB00592,15342614,
PKDB00600,27023460,
PKDB00593,7593709,
PKDB00594,22283559,
10579482,10579482,
PKDB00498,11829201,
10613613,10613613,
18183034,18183034,
12928596,12928596,
PKDB00595,20041473,
PKDB00291,19673928,
PKDB00288,19267775,
PKDB00300,,
PKDB00309,,
PKDB00320,3608350,
PKDB00316,8435379,
PKDB00312,3536530,
PKDB00287,,
PKDB00313,,
PKDB00293,20046786,PMC2792562
PKDB00301,11850698,
PKDB00297,7118326,
PKDB00302,3370062,
PKDB00315,3370063,
PKDB00289,2076715,
PKDB00275,29403968,PMC5762444
PKDB00501,32593714,
PKDB00387,1277728,
PKDB00389,13689739,
PKDB00390,13809697,PMC293343
PKDB00391,10773154,
PKDB00392,24834884,
PKDB00393,8602375,
PKDB00310,6507927,
PKDB00421,2206792,PMC1368232
PKDB00395,6822056,
PKDB00502,26186960,
PKDB00503,10896825,
PKDB00397,11169069,
PKDB00399,6629320,
PKDB00504,27863442,PMC5324621
PKDB00400,3816112,
PKDB00401,3396264,
PKDB00422,2246703,
PKDB00405,6071462,
PKDB00423,18594801,
PKDB00424,7261553,
PKDB00406,1208580,
PKDB00407,814028,
PKDB00409,9691928,PMC1727147
PKDB00412,16498606,
PKDB00415,11855925,
PKDB00505,27172450,
PKDB00425,973986,PMC1428933
PKDB00413,16544120,
PKDB00416,19208031,
PKDB00506,3613884,
PKDB00417,19561474,
PKDB00418,33052632,
PKDB00419,25581073,PMC4430775
PKDB00420,15013363,
PKDB00426,445957,
PKDB00968,39243911,
1484193,1484193,
8375123,8375123,
Baillie1989,2816559,
1474160,1474160,
2857025,2857025,
Bochner1999,,
Broomhead1997,,
Brunk1974,4843237,
Chapman1990,,
Ikekawa1969,5781407,
Kinzler2019,31278694,PMC6822839
Lotsch2002,12189362,
PKDB00101,1943064,
Villesen2006,Villesen2006,
